date,alimentaire,alimentaire hors tabac,ipc
2004-07-01,91.76392335726209,89.56323597570784,86.9
2004-08-01,91.63129228820056,89.4427598058541,85.4
2004-09-01,91.23473740461473,88.99433558080334,85.6
2004-10-01,91.70313183610095,89.4784012964424,85.6
2004-11-01,92.5208323431536,90.38512735607014,85.8
2004-12-01,93.12275429007848,91.06757888118912,86.0
2005-01-01,92.63093525555799,90.55933660308824,86.0
2005-02-01,92.41207523203286,90.33083281776864,86.6
2005-03-01,92.60127332437563,90.52035357049118,87.4
2005-04-01,90.98193862769028,88.92100511033814,87.0
2005-05-01,92.14463999353822,90.47697089641945,87.4
2005-06-01,92.26498710084982,90.536447233311,87.2
2005-07-01,92.53092805247117,90.54629936104503,86.5
2005-08-01,93.48566314186041,91.48832708194352,85.8
2005-09-01,93.21395594576201,91.1669837249966,85.9
2005-10-01,93.71066271732296,91.63505700924163,86.0
2005-11-01,93.80963148883032,91.80732442817533,86.4
2005-12-01,92.58644261763374,90.60441943156714,86.7
2006-01-01,93.69026083393805,91.72441095173588,87.12
2006-02-01,93.13432555663434,91.0774465800674,87.58
2006-03-01,92.75090259574768,90.68492294558638,87.69
2006-04-01,93.31689047990143,91.19504223164166,87.89
2006-05-01,93.36183189036157,91.16204711449622,88.52
2006-06-01,94.25964721600246,92.06468993245235,88.52
2006-07-01,95.44014243636757,93.32658723336114,88.27
2006-08-01,93.25367897544164,91.09366439974616,87.83
2006-09-01,94.1780712300472,92.18202609037041,88.2
2006-10-01,93.59723915631685,91.5339560234514,87.88
2006-11-01,93.98894602784742,91.94485520095489,88.47
2006-12-01,93.12216935159734,90.95079567944809,88.3
2007-01-01,93.89525591021732,91.77959717948671,88.59
2007-02-01,94.3487943955513,92.36821443815975,88.2
2007-03-01,95.16166749346402,93.2436660780309,88.13
2007-04-01,95.49281300182176,93.4390967888118,88.91
2007-05-01,94.59189953602295,92.37712284812494,89.33
2007-06-01,95.3275084433124,93.41851939421102,89.68
2007-07-01,95.52404049485187,93.80551364918345,88.98
2007-08-01,94.75289988936755,93.25965672351208,88.85
2007-09-01,94.8107488529048,93.2731039339156,89.38
2007-10-01,95.9118588295881,94.42349398882341,89.89
2007-11-01,94.59619743949975,92.89362817499914,90.51
2007-12-01,95.2451478542446,93.5417288048274,91.13
2008-01-01,93.84536799252862,92.09072780492279,92.5
2008-02-01,95.06095966444484,93.42988793042238,92.65
2008-03-01,94.98045513464027,93.4553900995842,93.05
2008-04-01,93.50515386266757,91.9931535699944,93.69
2008-05-01,94.61302846422373,93.12669031802963,94.68
2008-06-01,93.6497763937781,92.01358041504027,94.86
2008-07-01,93.46114142958982,91.7369705794514,94.92
2008-08-01,94.59629739615025,92.93374466305272,93.64
2008-09-01,95.5816350554612,94.03505663636723,93.71
2008-10-01,93.9829571924753,92.27337982883452,94.17
2008-11-01,94.9458287263,93.23947889371532,93.97
2008-12-01,95.20914079020308,93.40611176358846,94.01
2009-01-01,95.70761584484264,93.86357128161326,94.58
2009-02-01,94.29139967147168,92.28687692239728,94.59
2009-03-01,92.84750934533008,90.65949914198002,94.41
2009-04-01,95.24386472697819,93.41925532177711,94.47
2009-05-01,95.26896091685309,93.62190692808747,94.76
2009-06-01,95.63581599237027,93.96503986786226,94.16
2009-07-01,94.8841717608512,93.22194884921974,93.39
2009-08-01,96.81923702349741,95.17975509906958,92.61
2009-09-01,95.73164277718888,93.74893629538728,93.09
2009-10-01,96.06295617874231,94.10069889732524,93.53
2009-11-01,94.993673936195,93.48886679388907,93.59
2009-12-01,96.25203717504903,95.08119227156428,93.48
2010-01-01,95.40650539312568,94.06038785030583,94.41
2010-02-01,95.84925369601515,94.42953548521982,94.49
2010-03-01,96.40672445298841,94.88716078340602,94.86
2010-04-01,96.16768295038834,94.58461979868096,95.25
2010-05-01,97.15887828438008,95.73254537791203,95.52
2010-06-01,96.48839086747908,94.73468358192312,95.36
2010-07-01,97.892291934587,95.97744328125627,94.78
2010-08-01,96.99596348256624,95.24745086372462,93.85
2010-09-01,97.21627335186135,95.65231911936968,93.89
2010-10-01,97.70763028350443,95.94137006137241,93.97
2010-11-01,98.26340350938483,96.86190433097943,94.44
2010-12-01,97.99341283429466,96.84774368346206,94.65
